workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,6,6.697916,7.066601
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,7,7.107172,7.498496
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,8,6.674536,7.041911
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,9,6.521989,6.881339
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,10,6.10844,6.444622
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,1,10.81862,11.400334
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,2,10.805025,11.387922
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,3,9.885698,10.418915
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,4,10.573033,11.143538
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,5,9.866082,10.398342
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,6,10.074164,10.617659
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,7,10.299069,10.854819
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,8,9.96852,10.506387
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,9,13.525251,14.255372
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,10,18.605775,19.592838
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,1,19.960407,21.060279
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,2,20.032457,21.138189
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,3,20.609762,21.747223
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,4,19.727543,20.816623
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,5,19.777053,20.868919
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,6,20.853275,22.004412
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,7,19.572648,20.653255
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,8,21.360408,22.53999
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,9,20.765358,21.911301
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,10,19.768034,20.85927
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,1,38.984256,41.126796
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,2,38.316798,40.423617
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,3,37.794089,39.872115
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,4,39.415053,41.583548
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,5,38.174258,40.271671
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,6,43.845852,46.258185
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,7,43.562744,45.962422
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,8,38.671085,40.798634
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,9,38.188966,40.286475
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,10,38.513304,40.630864
